periodo,banco,sector,creditos_miles,fecha
2021-12,BCP,"Agricultura, Ganadería, Caza y Silvicultura",3233241.33,2021-12-01
2021-12,Pichincha,"Agricultura, Ganadería, Caza y Silvicultura",515379.23,2021-12-01
2021-12,BanBif,"Agricultura, Ganadería, Caza y Silvicultura",963830.08,2021-12-01
2021-12,Scotiabank,"Agricultura, Ganadería, Caza y Silvicultura",2048859.01,2021-12-01
2021-12,Citibank,"Agricultura, Ganadería, Caza y Silvicultura",12.22,2021-12-01
2021-12,Interbank,"Agricultura, Ganadería, Caza y Silvicultura",1767473.28,2021-12-01
2021-12,Mibanco,"Agricultura, Ganadería, Caza y Silvicultura",426945.97,2021-12-01
2021-12,GNB,"Agricultura, Ganadería, Caza y Silvicultura",138691.32,2021-12-01
2021-12,Falabella,"Agricultura, Ganadería, Caza y Silvicultura",0.0,2021-12-01
2021-12,Santander,"Agricultura, Ganadería, Caza y Silvicultura",768426.72,2021-12-01
2021-12,Ripley,"Agricultura, Ganadería, Caza y Silvicultura",0.0,2021-12-01
2021-12,Alfin Banco,"Agricultura, Ganadería, Caza y Silvicultura",0.0,2021-12-01
2021-12,ICBC,"Agricultura, Ganadería, Caza y Silvicultura",179950.6,2021-12-01
2021-12,Bank of China,"Agricultura, Ganadería, Caza y Silvicultura",0.0,2021-12-01
2021-12,BBVA,Pesca,250714.07,2021-12-01
2021-12,Comercio,Pesca,133.88,2021-12-01
2021-12,BCP,Pesca,505049.78,2021-12-01
2021-12,Pichincha,Pesca,36877.64,2021-12-01
2021-12,BanBif,Pesca,23912.17,2021-12-01
2021-12,Scotiabank,Pesca,76102.75,2021-12-01
2021-12,Citibank,Pesca,0.0,2021-12-01
2021-12,Interbank,Pesca,330756.2,2021-12-01
2021-12,Mibanco,Pesca,26054.48,2021-12-01
2021-12,GNB,Pesca,11389.92,2021-12-01
2021-12,Falabella,Pesca,0.0,2021-12-01
2021-12,Santander,Pesca,85387.28,2021-12-01
2021-12,Ripley,Pesca,0.0,2021-12-01
2021-12,Alfin Banco,Pesca,0.0,2021-12-01
2021-12,ICBC,Pesca,0.0,2021-12-01
2021-12,Bank of China,Pesca,0.0,2021-12-01
2021-12,BBVA,Minería,2201883.29,2021-12-01
2021-12,Comercio,Minería,1836.32,2021-12-01
2021-12,BCP,Minería,4687193.4,2021-12-01
2021-12,Pichincha,Minería,66433.08,2021-12-01
2021-12,BanBif,Minería,345357.13,2021-12-01
2021-12,Scotiabank,Minería,1670597.21,2021-12-01
2021-12,Citibank,Minería,204718.46,2021-12-01
2021-12,Interbank,Minería,676389.56,2021-12-01
2021-12,Mibanco,Minería,6724.07,2021-12-01
2021-12,GNB,Minería,0.0,2021-12-01
2021-12,Falabella,Minería,0.0,2021-12-01
2021-12,Santander,Minería,222455.39,2021-12-01
2021-12,Ripley,Minería,0.0,2021-12-01
2021-12,Alfin Banco,Minería,0.0,2021-12-01
2021-12,ICBC,Minería,150931.71,2021-12-01
2021-12,Bank of China,Minería,0.0,2021-12-01
2021-12,BBVA,Industria Manufacturera,11572044.41,2021-12-01
2021-12,Comercio,Industria Manufacturera,62419.09,2021-12-01
2021-12,BCP,Industria Manufacturera,19974523.46,2021-12-01
2021-12,Pichincha,Industria Manufacturera,700174.94,2021-12-01
2021-12,BanBif,Industria Manufacturera,2469804.35,2021-12-01
2021-12,Scotiabank,Industria Manufacturera,9717356.43,2021-12-01
2021-12,Citibank,Industria Manufacturera,724218.2,2021-12-01
2021-12,Interbank,Industria Manufacturera,4881691.16,2021-12-01
2021-12,Mibanco,Industria Manufacturera,1049726.55,2021-12-01
2021-12,GNB,Industria Manufacturera,74575.46,2021-12-01
2021-12,Falabella,Industria Manufacturera,0.0,2021-12-01
2021-12,Santander,Industria Manufacturera,1255697.75,2021-12-01
2021-12,Ripley,Industria Manufacturera,0.0,2021-12-01
2021-12,Alfin Banco,Industria Manufacturera,0.0,2021-12-01
2021-12,ICBC,Industria Manufacturera,242287.51,2021-12-01
2021-12,Bank of China,Industria Manufacturera,0.0,2021-12-01
2021-12,BBVA,"Electricidad, Gas y Agua",1793180.09,2021-12-01
2021-12,Comercio,"Electricidad, Gas y Agua",0.15,2021-12-01
2021-12,BCP,"Electricidad, Gas y Agua",4059508.37,2021-12-01
2021-12,Pichincha,"Electricidad, Gas y Agua",2103.13,2021-12-01
2021-12,BanBif,"Electricidad, Gas y Agua",119253.02,2021-12-01
2021-12,Scotiabank,"Electricidad, Gas y Agua",2959261.93,2021-12-01
2021-12,Citibank,"Electricidad, Gas y Agua",286038.58,2021-12-01
2021-12,Interbank,"Electricidad, Gas y Agua",918315.3,2021-12-01
2021-12,Mibanco,"Electricidad, Gas y Agua",11925.82,2021-12-01
2021-12,GNB,"Electricidad, Gas y Agua",0.0,2021-12-01
2021-12,Falabella,"Electricidad, Gas y Agua",0.0,2021-12-01
2021-12,Santander,"Electricidad, Gas y Agua",3089.75,2021-12-01
2021-12,Ripley,"Electricidad, Gas y Agua",0.0,2021-12-01
2021-12,Alfin Banco,"Electricidad, Gas y Agua",0.0,2021-12-01
2021-12,ICBC,"Electricidad, Gas y Agua",60482.63,2021-12-01
2021-12,Bank of China,"Electricidad, Gas y Agua",0.0,2021-12-01
2021-12,BBVA,Construcción,1477096.19,2021-12-01
2021-12,Comercio,Construcción,27482.79,2021-12-01
2021-12,BCP,Construcción,2883921.54,2021-12-01
2021-12,Pichincha,Construcción,324917.04,2021-12-01
2021-12,BanBif,Construcción,412437.97,2021-12-01
2021-12,Scotiabank,Construcción,316442.32,2021-12-01
2021-12,Citibank,Construcción,11024.41,2021-12-01
2021-12,Interbank,Construcción,732628.46,2021-12-01
2021-12,Mibanco,Construcción,558228.67,2021-12-01
2021-12,GNB,Construcción,92549.83,2021-12-01
2021-12,Falabella,Construcción,0.0,2021-12-01
2021-12,Santander,Construcción,234069.58,2021-12-01
2021-12,Ripley,Construcción,0.0,2021-12-01
2021-12,Alfin Banco,Construcción,0.0,2021-12-01
2021-12,ICBC,Construcción,0.0,2021-12-01
2021-12,Bank of China,Construcción,0.0,2021-12-01
2021-12,BBVA,Comercio,15007388.26,2021-12-01
2021-12,Comercio,Comercio,63437.34,2021-12-01
2021-12,BCP,Comercio,20618899.17,2021-12-01
2021-12,Pichincha,Comercio,1444411.02,2021-12-01
